address,restaurant_name,online_order,book_table,rating,votes,location,restaurant_type,dish_liked,cuisines,listing_type,city_area,cost,price_category,cuisine_count,primary_cuisine,rating_category
"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Jalsa,True,True,4.1,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",Buffet,Banashankari,800.0,Premium,3,North Indian,Excellent
"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,True,False,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",Buffet,Banashankari,800.0,Premium,3,Chinese,Excellent
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,True,False,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",Buffet,Banashankari,800.0,Premium,3,Cafe,Good
"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,False,False,3.7,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",Buffet,Banashankari,300.0,Mid-Range,2,South Indian,Good
"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,False,False,3.8,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",Buffet,Banashankari,600.0,Premium,2,North Indian,Good
"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,True,False,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,Buffet,Banashankari,600.0,Premium,1,North Indian,Good
"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Rosewood International Hotel - Bar & Restaurant,False,False,3.6,8,Mysore Road,Casual Dining,Not Available,"North Indian, South Indian, Andhra, Chinese",Buffet,Banashankari,800.0,Premium,4,North Indian,Good
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,True,True,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",Cafes,Banashankari,600.0,Premium,3,Pizza,Excellent
"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,True,False,4.0,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",Cafes,Banashankari,700.0,Premium,3,Cafe,Good
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,True,False,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",Cafes,Banashankari,550.0,Premium,5,Cafe,Excellent
